ticker,name,index,source,fetched_at
AC.PA,Accor,cac40,Wikipedia (CAC_40),2026-08-17T09:13:37
AI.PA,Air Liquide,cac40,Wikipedia (CAC_40),2026-08-17T09:13:37
AIR.PA,Airbus,cac40,Wikipedia (CAC_40),2026-08-17T09:13:37
MT.AS,ArcelorMittal,cac40,Wikipedia (CAC_40),2026-08-17T09:13:37
CS.PA,Axa,cac40,Wikipedia (CAC_40),2026-08-17T09:13:37
BNP.PA,BNP Paribas,cac40,Wikipedia (CAC_40),2026-08-17T09:13:37
EN.PA,Bouygues,cac40,Wikipedia (CAC_40),2026-08-17T09:13:37
BVI.PA,Bureau Veritas,cac40,Wikipedia (CAC_40),2026-08-17T09:13:37
CAP.PA,Capgemini,cac40,Wikipedia (CAC_40),2026-08-17T09:13:37
CA.PA,Carrefour,cac40,Wikipedia (CAC_40),2026-08-17T09:13:37
ACA.PA,Crédit Agricole,cac40,Wikipedia (CAC_40),2026-08-17T09:13:37
BN.PA,Danone,cac40,Wikipedia (CAC_40),2026-08-17T09:13:37
DSY.PA,Dassault Systèmes,cac40,Wikipedia (CAC_40),2026-08-17T09:13:37
EDEN.PA,Edenred,cac40,Wikipedia (CAC_40),2026-08-17T09:13:37
ENGI.PA,Engie,cac40,Wikipedia (CAC_40),2026-08-17T09:13:37
EL.PA,EssilorLuxottica,cac40,Wikipedia (CAC_40),2026-08-17T09:13:37
ERF.PA,Eurofins Scientific,cac40,Wikipedia (CAC_40),2026-08-17T09:13:37
RMS.PA,Hermès,cac40,Wikipedia (CAC_40),2026-08-17T09:13:37
KER.PA,Kering,cac40,Wikipedia (CAC_40),2026-08-17T09:13:37
OR.PA,L'Oréal,cac40,Wikipedia (CAC_40),2026-08-17T09:13:37
LR.PA,Legrand,cac40,Wikipedia (CAC_40),2026-08-17T09:13:37
MC.PA,LVMH,cac40,Wikipedia (CAC_40),2026-08-17T09:13:37
ML.PA,Michelin,cac40,Wikipedia (CAC_40),2026-08-17T09:13:37
ORA.PA,Orange,cac40,Wikipedia (CAC_40),2026-08-17T09:13:37
RI.PA,Pernod Ricard,cac40,Wikipedia (CAC_40),2026-08-17T09:13:37
PUB.PA,Publicis,cac40,Wikipedia (CAC_40),2026-08-17T09:13:37
RNO.PA,Renault,cac40,Wikipedia (CAC_40),2026-08-17T09:13:37
SAF.PA,Safran,cac40,Wikipedia (CAC_40),2026-08-17T09:13:37
SGO.PA,Saint-Gobain,cac40,Wikipedia (CAC_40),2026-08-17T09:13:37
SAN.PA,Sanofi,cac40,Wikipedia (CAC_40),2026-08-17T09:13:37
SU.PA,Schneider Electric,cac40,Wikipedia (CAC_40),2026-08-17T09:13:37
GLE.PA,Société Générale,cac40,Wikipedia (CAC_40),2026-08-17T09:13:37
STLAP.PA,Stellantis,cac40,Wikipedia (CAC_40),2026-08-17T09:13:37
STMPA.PA,STMicroelectronics,cac40,Wikipedia (CAC_40),2026-08-17T09:13:37
TEP.PA,Teleperformance,cac40,Wikipedia (CAC_40),2026-08-17T09:13:37
HO.PA,Thales,cac40,Wikipedia (CAC_40),2026-08-17T09:13:37
TTE.PA,TotalEnergies,cac40,Wikipedia (CAC_40),2026-08-17T09:13:37
URW.PA,Unibail-Rodamco-Westfield,cac40,Wikipedia (CAC_40),2026-08-17T09:13:37
VIE.PA,Veolia,cac40,Wikipedia (CAC_40),2026-08-17T09:13:37
DG.PA,Vinci,cac40,Wikipedia (CAC_40),2026-08-17T09:13:37
