ticker,name,index,source,fetched_at
ADS.DE,Adidas,dax,Wikipedia (DAX),2026-08-17T09:13:37
AIR.PA,Airbus,dax,Wikipedia (DAX),2026-08-17T09:13:37
ALV.DE,Allianz,dax,Wikipedia (DAX),2026-08-17T09:13:37
BAS.DE,BASF,dax,Wikipedia (DAX),2026-08-17T09:13:37
BAYN.DE,Bayer,dax,Wikipedia (DAX),2026-08-17T09:13:37
BEI.DE,Beiersdorf,dax,Wikipedia (DAX),2026-08-17T09:13:37
BMW.DE,BMW,dax,Wikipedia (DAX),2026-08-17T09:13:37
BNR.DE,Brenntag,dax,Wikipedia (DAX),2026-08-17T09:13:37
CBK.DE,Commerzbank,dax,Wikipedia (DAX),2026-08-17T09:13:37
CON.DE,Continental,dax,Wikipedia (DAX),2026-08-17T09:13:37
DTG.DE,Daimler Truck,dax,Wikipedia (DAX),2026-08-17T09:13:37
DBK.DE,Deutsche Bank,dax,Wikipedia (DAX),2026-08-17T09:13:37
DB1.DE,Deutsche Börse,dax,Wikipedia (DAX),2026-08-17T09:13:37
DHL.DE,Deutsche Post,dax,Wikipedia (DAX),2026-08-17T09:13:37
DTE.DE,Deutsche Telekom,dax,Wikipedia (DAX),2026-08-17T09:13:37
EOAN.DE,E.ON,dax,Wikipedia (DAX),2026-08-17T09:13:37
FRE.DE,Fresenius,dax,Wikipedia (DAX),2026-08-17T09:13:37
FME.DE,Fresenius Medical Care,dax,Wikipedia (DAX),2026-08-17T09:13:37
G1A.DE,GEA Group,dax,Wikipedia (DAX),2026-08-17T09:13:37
HNR1.DE,Hannover Re,dax,Wikipedia (DAX),2026-08-17T09:13:37
HEI.DE,Heidelberg Materials,dax,Wikipedia (DAX),2026-08-17T09:13:37
HEN3.DE,Henkel,dax,Wikipedia (DAX),2026-08-17T09:13:37
IFX.DE,Infineon Technologies,dax,Wikipedia (DAX),2026-08-17T09:13:37
MBG.DE,Mercedes-Benz Group,dax,Wikipedia (DAX),2026-08-17T09:13:37
MRK.DE,Merck,dax,Wikipedia (DAX),2026-08-17T09:13:37
MTX.DE,MTU Aero Engines,dax,Wikipedia (DAX),2026-08-17T09:13:37
MUV2.DE,Munich Re,dax,Wikipedia (DAX),2026-08-17T09:13:37
PAH3.DE,Porsche SE,dax,Wikipedia (DAX),2026-08-17T09:13:37
QIA.DE,Qiagen,dax,Wikipedia (DAX),2026-08-17T09:13:37
RHM.DE,Rheinmetall,dax,Wikipedia (DAX),2026-08-17T09:13:37
RWE.DE,RWE,dax,Wikipedia (DAX),2026-08-17T09:13:37
SAP.DE,SAP,dax,Wikipedia (DAX),2026-08-17T09:13:37
G24.DE,Scout24,dax,Wikipedia (DAX),2026-08-17T09:13:37
SIE.DE,Siemens,dax,Wikipedia (DAX),2026-08-17T09:13:37
ENR.DE,Siemens Energy,dax,Wikipedia (DAX),2026-08-17T09:13:37
SHL.DE,Siemens Healthineers,dax,Wikipedia (DAX),2026-08-17T09:13:37
SY1.DE,Symrise,dax,Wikipedia (DAX),2026-08-17T09:13:37
VOW3.DE,Volkswagen Group,dax,Wikipedia (DAX),2026-08-17T09:13:37
VNA.DE,Vonovia,dax,Wikipedia (DAX),2026-08-17T09:13:37
ZAL.DE,Zalando,dax,Wikipedia (DAX),2026-08-17T09:13:37
