ticker,name,index,source,fetched_at
A2A.MI,A2A,ftsemib,Wikipedia (FTSE_MIB),2026-08-17T09:13:37
AMP.MI,Amplifon,ftsemib,Wikipedia (FTSE_MIB),2026-08-17T09:13:37
AVIO.MI,Avio,ftsemib,Wikipedia (FTSE_MIB),2026-08-17T09:13:37
AZM.MI,Azimut,ftsemib,Wikipedia (FTSE_MIB),2026-08-17T09:13:37
BMED.MI,Banca Mediolanum,ftsemib,Wikipedia (FTSE_MIB),2026-08-17T09:13:37
BMPS.MI,Banca Monte dei Paschi di Siena,ftsemib,Wikipedia (FTSE_MIB),2026-08-17T09:13:37
BAMI.MI,Banco BPM,ftsemib,Wikipedia (FTSE_MIB),2026-08-17T09:13:37
BPE.MI,BPER Banca,ftsemib,Wikipedia (FTSE_MIB),2026-08-17T09:13:37
BC.MI,Brunello Cucinelli,ftsemib,Wikipedia (FTSE_MIB),2026-08-17T09:13:37
BZU.MI,Buzzi,ftsemib,Wikipedia (FTSE_MIB),2026-08-17T09:13:37
CPR.MI,Campari,ftsemib,Wikipedia (FTSE_MIB),2026-08-17T09:13:37
DIA.MI,Diasorin,ftsemib,Wikipedia (FTSE_MIB),2026-08-17T09:13:37
ENEL.MI,Enel,ftsemib,Wikipedia (FTSE_MIB),2026-08-17T09:13:37
ENI.MI,Eni,ftsemib,Wikipedia (FTSE_MIB),2026-08-17T09:13:37
RACE.MI,Ferrari,ftsemib,Wikipedia (FTSE_MIB),2026-08-17T09:13:37
FCT.MI,Fincantieri,ftsemib,Wikipedia (FTSE_MIB),2026-08-17T09:13:37
FBK.MI,FinecoBank,ftsemib,Wikipedia (FTSE_MIB),2026-08-17T09:13:37
G.MI,Generali,ftsemib,Wikipedia (FTSE_MIB),2026-08-17T09:13:37
HER.MI,Hera,ftsemib,Wikipedia (FTSE_MIB),2026-08-17T09:13:37
ISP.MI,Intesa Sanpaolo,ftsemib,Wikipedia (FTSE_MIB),2026-08-17T09:13:37
INW.MI,INWIT,ftsemib,Wikipedia (FTSE_MIB),2026-08-17T09:13:37
IG.MI,Italgas,ftsemib,Wikipedia (FTSE_MIB),2026-08-17T09:13:37
IVG.MI,Iveco,ftsemib,Wikipedia (FTSE_MIB),2026-08-17T09:13:37
LDO.MI,Leonardo,ftsemib,Wikipedia (FTSE_MIB),2026-08-17T09:13:37
LTMC.MI,Lottomatica Group,ftsemib,Wikipedia (FTSE_MIB),2026-08-17T09:13:37
MB.MI,Mediobanca,ftsemib,Wikipedia (FTSE_MIB),2026-08-17T09:13:37
MONC.MI,Moncler,ftsemib,Wikipedia (FTSE_MIB),2026-08-17T09:13:37
NEXI.MI,Nexi,ftsemib,Wikipedia (FTSE_MIB),2026-08-17T09:13:37
PST.MI,Poste italiane,ftsemib,Wikipedia (FTSE_MIB),2026-08-17T09:13:37
PRY.MI,Prysmian,ftsemib,Wikipedia (FTSE_MIB),2026-08-17T09:13:37
REC.MI,Recordati,ftsemib,Wikipedia (FTSE_MIB),2026-08-17T09:13:37
SPM.MI,Saipem,ftsemib,Wikipedia (FTSE_MIB),2026-08-17T09:13:37
SRG.MI,Snam,ftsemib,Wikipedia (FTSE_MIB),2026-08-17T09:13:37
STLAM.MI,Stellantis,ftsemib,Wikipedia (FTSE_MIB),2026-08-17T09:13:37
STMMI.MI,STMicroelectronics,ftsemib,Wikipedia (FTSE_MIB),2026-08-17T09:13:37
TIT.MI,Telecom Italia,ftsemib,Wikipedia (FTSE_MIB),2026-08-17T09:13:37
TEN.MI,Tenaris,ftsemib,Wikipedia (FTSE_MIB),2026-08-17T09:13:37
TRN.MI,Terna,ftsemib,Wikipedia (FTSE_MIB),2026-08-17T09:13:37
UCG.MI,UniCredit,ftsemib,Wikipedia (FTSE_MIB),2026-08-17T09:13:37
UNI.MI,Unipol,ftsemib,Wikipedia (FTSE_MIB),2026-08-17T09:13:37
