ticker,name,index,source,fetched_at
AAPL,Apple Inc. Common Stock,nasdaq100,api.nasdaq.com (ufficiale),2026-08-17T09:13:37
AMAT,"Applied Materials, Inc. Common Stock",nasdaq100,api.nasdaq.com (ufficiale),2026-08-17T09:13:37
AMGN,Amgen Inc. Common Stock,nasdaq100,api.nasdaq.com (ufficiale),2026-08-17T09:13:37
CMCSA,Comcast Corporation Class A Common Stock,nasdaq100,api.nasdaq.com (ufficiale),2026-08-17T09:13:37
INTC,Intel Corporation Common Stock,nasdaq100,api.nasdaq.com (ufficiale),2026-08-17T09:13:37
KLAC,KLA Corporation Common Stock,nasdaq100,api.nasdaq.com (ufficiale),2026-08-17T09:13:37
PCAR,PACCAR Inc. Common Stock,nasdaq100,api.nasdaq.com (ufficiale),2026-08-17T09:13:37
CTAS,Cintas Corporation Common Stock,nasdaq100,api.nasdaq.com (ufficiale),2026-08-17T09:13:37
PAYX,"Paychex, Inc. Common Stock",nasdaq100,api.nasdaq.com (ufficiale),2026-08-17T09:13:37
LRCX,Lam Research Corporation Common Stock,nasdaq100,api.nasdaq.com (ufficiale),2026-08-17T09:13:37
ADSK,"Autodesk, Inc. Common Stock",nasdaq100,api.nasdaq.com (ufficiale),2026-08-17T09:13:37
ROST,"Ross Stores, Inc. Common Stock",nasdaq100,api.nasdaq.com (ufficiale),2026-08-17T09:13:37
MNST,Monster Beverage Corporation,nasdaq100,api.nasdaq.com (ufficiale),2026-08-17T09:13:37
MSFT,Microsoft Corporation Common Stock,nasdaq100,api.nasdaq.com (ufficiale),2026-08-17T09:13:37
ADBE,Adobe Inc. Common Stock,nasdaq100,api.nasdaq.com (ufficiale),2026-08-17T09:13:37
FAST,Fastenal Company Common Stock,nasdaq100,api.nasdaq.com (ufficiale),2026-08-17T09:13:37
CSCO,"Cisco Systems, Inc. Common Stock (DE)",nasdaq100,api.nasdaq.com (ufficiale),2026-08-17T09:13:37
REGN,"Regeneron Pharmaceuticals, Inc. Common Stock",nasdaq100,api.nasdaq.com (ufficiale),2026-08-17T09:13:37
IDXX,"IDEXX Laboratories, Inc. Common Stock",nasdaq100,api.nasdaq.com (ufficiale),2026-08-17T09:13:37
VRTX,Vertex Pharmaceuticals Incorporated Common Stock,nasdaq100,api.nasdaq.com (ufficiale),2026-08-17T09:13:37
ODFL,"Old Dominion Freight Line, Inc. Common Stock",nasdaq100,api.nasdaq.com (ufficiale),2026-08-17T09:13:37
QCOM,QUALCOMM Incorporated Common Stock,nasdaq100,api.nasdaq.com (ufficiale),2026-08-17T09:13:37
GILD,"Gilead Sciences, Inc. Common Stock",nasdaq100,api.nasdaq.com (ufficiale),2026-08-17T09:13:37
SNPS,"Synopsys, Inc. Common Stock",nasdaq100,api.nasdaq.com (ufficiale),2026-08-17T09:13:37
SBUX,Starbucks Corporation Common Stock,nasdaq100,api.nasdaq.com (ufficiale),2026-08-17T09:13:37
INTU,Intuit Inc. Common Stock,nasdaq100,api.nasdaq.com (ufficiale),2026-08-17T09:13:37
MCHP,Microchip Technology Incorporated Common Stock,nasdaq100,api.nasdaq.com (ufficiale),2026-08-17T09:13:37
ORLY,"O'Reilly Automotive, Inc. Common Stock",nasdaq100,api.nasdaq.com (ufficiale),2026-08-17T09:13:37
COST,Costco Wholesale Corporation Common Stock,nasdaq100,api.nasdaq.com (ufficiale),2026-08-17T09:13:37
CPRT,"Copart, Inc. (DE) Common Stock",nasdaq100,api.nasdaq.com (ufficiale),2026-08-17T09:13:37
ASML,ASML Holding N.V. New York Registry Shares,nasdaq100,api.nasdaq.com (ufficiale),2026-08-17T09:13:37
TTWO,"Take-Two Interactive Software, Inc. Common Stock",nasdaq100,api.nasdaq.com (ufficiale),2026-08-17T09:13:37
AMZN,"Amazon.com, Inc. Common Stock",nasdaq100,api.nasdaq.com (ufficiale),2026-08-17T09:13:37
MSTR,Strategy Inc Common Stock Class A,nasdaq100,api.nasdaq.com (ufficiale),2026-08-17T09:13:37
NVDA,NVIDIA Corporation Common Stock,nasdaq100,api.nasdaq.com (ufficiale),2026-08-17T09:13:37
BKNG,Booking Holdings Inc. Common Stock,nasdaq100,api.nasdaq.com (ufficiale),2026-08-17T09:13:37
ISRG,"Intuitive Surgical, Inc. Common Stock",nasdaq100,api.nasdaq.com (ufficiale),2026-08-17T09:13:37
MRVL,"Marvell Technology, Inc. Common Stock",nasdaq100,api.nasdaq.com (ufficiale),2026-08-17T09:13:37
ADI,"Analog Devices, Inc. Common Stock",nasdaq100,api.nasdaq.com (ufficiale),2026-08-17T09:13:37
AEP,"American Electric Power Company, Inc. Common Stock",nasdaq100,api.nasdaq.com (ufficiale),2026-08-17T09:13:37
AMD,"Advanced Micro Devices, Inc. Common Stock",nasdaq100,api.nasdaq.com (ufficiale),2026-08-17T09:13:37
ADP,"Automatic Data Processing, Inc. Common Stock",nasdaq100,api.nasdaq.com (ufficiale),2026-08-17T09:13:37
CDNS,"Cadence Design Systems, Inc. Common Stock",nasdaq100,api.nasdaq.com (ufficiale),2026-08-17T09:13:37
CSX,CSX Corporation Common Stock,nasdaq100,api.nasdaq.com (ufficiale),2026-08-17T09:13:37
HON,Honeywell International Inc. Common Stock,nasdaq100,api.nasdaq.com (ufficiale),2026-08-17T09:13:37
MAR,Marriott International Class A Common Stock,nasdaq100,api.nasdaq.com (ufficiale),2026-08-17T09:13:37
