ticker,name,weight,index,source,fetched_at
NVDA,NVIDIA CORP,8.128946,sp500,SPY holdings (SSGA),2026-08-17T09:13:37
AAPL,APPLE INC,6.678843,sp500,SPY holdings (SSGA),2026-08-17T09:13:37
MSFT,MICROSOFT CORP,5.498368,sp500,SPY holdings (SSGA),2026-08-17T09:13:37
AMZN,AMAZON.COM INC,3.866118,sp500,SPY holdings (SSGA),2026-08-17T09:13:37
GOOGL,ALPHABET INC CL A,3.025305,sp500,SPY holdings (SSGA),2026-08-17T09:13:37
AVGO,BROADCOM INC,2.946795,sp500,SPY holdings (SSGA),2026-08-17T09:13:37
GOOG,ALPHABET INC CL C,2.421464,sp500,SPY holdings (SSGA),2026-08-17T09:13:37
META,META PLATFORMS INC CLASS A,1.946225,sp500,SPY holdings (SSGA),2026-08-17T09:13:37
MU,MICRON TECHNOLOGY INC,1.595485,sp500,SPY holdings (SSGA),2026-08-17T09:13:37
JPM,JPMORGAN CHASE + CO,1.449221,sp500,SPY holdings (SSGA),2026-08-17T09:13:37
TSLA,TESLA INC,1.425583,sp500,SPY holdings (SSGA),2026-08-17T09:13:37
LLY,ELI LILLY + CO,1.422505,sp500,SPY holdings (SSGA),2026-08-17T09:13:37
BRK.B,BERKSHIRE HATHAWAY INC CL B,1.384292,sp500,SPY holdings (SSGA),2026-08-17T09:13:37
AMD,ADVANCED MICRO DEVICES,1.173086,sp500,SPY holdings (SSGA),2026-08-17T09:13:37
XOM,EXXONMOBIL HOLDINGS CORP,0.979185,sp500,SPY holdings (SSGA),2026-08-17T09:13:37
JNJ,JOHNSON + JOHNSON,0.93992,sp500,SPY holdings (SSGA),2026-08-17T09:13:37
V,VISA INC CLASS A SHARES,0.90337,sp500,SPY holdings (SSGA),2026-08-17T09:13:37
INTC,INTEL CORP,0.769231,sp500,SPY holdings (SSGA),2026-08-17T09:13:37
WMT,WALMART INC,0.755844,sp500,SPY holdings (SSGA),2026-08-17T09:13:37
MA,MASTERCARD INC   A,0.681625,sp500,SPY holdings (SSGA),2026-08-17T09:13:37
CSCO,CISCO SYSTEMS INC,0.667699,sp500,SPY holdings (SSGA),2026-08-17T09:13:37
ABBV,ABBVIE INC,0.660159,sp500,SPY holdings (SSGA),2026-08-17T09:13:37
